,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,55,144,4,84,20,3,0,83,2,3,3,23,1,43,0,0,0,33,69.3333333333,8,1,1,69
1,0,61,58,15,41,2,4,4,100,-7,0,5,7,0,67,0,0,0,0,69.0,0,3.0,0.0,0
2,0,67,66,5,24,9,0,0,100,-7,5,5,9,4,44,0,4,4,53,66,4,2,1,86
3,0,66,169,1,73,28,1,1,93,76,6,4,30,3,57,0,5,4,72,83,6,4,3,91
4,0,81,333,27,132,12,0,0,100,-7,5,5,12,0,25,0,1,1,51,89,3,1,0,80
5,0,59,137,11,78,31,0,0,91,1,4,4,32,1,47,0,0,0,62,93,12,4,3,94
6,1,54,88,7,37,25,0,0,92,9,4,4,26,3,58,0,4,4,89,76,7,7,2,100
7,1,68,148,7,65,17,0,0,83,31,6,4,18,1,44,0,0,0,28,48,2,2,2,40
8,0,59,324,2,138,24,0,0,85,5,4,4,27,1,26,0,1,1,68,48.0,7,1,3,90
9,0,61,79,4,36,19,0,0,95,5,4,4,19,3,26,0,6,6,31,86,5,3,1,62
10,1,82,96,5,47,16,0,0,100,-7,5,5,16,3,31,0,0,0,15,88,4,2,0,67
11,0,50,311,25,76,12,1,0,60,2,3,3,15,0,20,0,1,1,84,64,5,2,2,88
12,0,74,274,2,66,23,0,0,100,-7,6,5,28,4,39,0,2,2,18,65,3,5,1,67
13,1,69,256,6,117,11,1,1,100,-7,5,5,14,1,8,0,0,0,13,62.0,2,2.33333333333,0,67
14,0,63,262,26,95,3,2,2,75,27,6,2,6,0,100,0,0,0,55.0,54.6666666667,1.33333333333,1,0.333333333333,100
15,0,63,184,3,77,34,0,0,97,32,6,4,36,2,36,0,11,10,71,80,10,2,3,82
16,0,61,256,19,68,14,0,0,87,0,4,4,15,0,33,0,2,1,62,68,3,3,1,86
17,0,62,131,4,59,16,4,2,79,23,6,3,20,4,58,0,4,4,25,91,3,4,1,70
18,0,89,244,9,147,10,0,0,100,-7,5,5,10,1,10,0,0,0,3,89.0,2,1.66666666667,0,50
19,0,65,43,2,26,15,1,1,100,-7,5,5,17,2,25,0,4,4,31,83,5,1,0,75
20,0,57,147,4,73,27,1,1,97,1,0,0,31,2,48,0,4,4,44,87,3,2,3,56
21,0,72,365,11,83,22,0,0,100,-7,5,5,22,1,41,0,0,0,49,23,6,2,1,73
22,1,72,84,4,53,29,0,0,100,-7,5,5,30,2,27,0,1,1,43,48,9,5,3,64
23,0,65,88,9,45,20,0,0,85,1,4,4,20,1,20,0,0,0,14,71,4,2,1,50
24,0,64,91,4,55,19,1,1,90,0,0,0,20,2,50,0,2,2,24,81,6,3,1,82
25,0,58,265,3,79,25,2,1,93,13,0,3,28,2,48,0,1,1,63,50,8,2,0,91
26,0,58,150,16,72,18,2,0,55,4,4,3,22,0,45,0,1,1,79,38,7,3,0,91
27,0,79,162,7,94,17,0,0,100,-7,5,5,17,1,29,0,0,0,28,46.6666666667,3,1,1,57
28,0,66,284,32,107,15,2,2,82,3,4,2,17,0,53,0,1,1,19,50,3,2,1,63
29,0,69,476,8,157,38,4,4,100,-7,6,5,39,1,36,0,4,4,50,54,14,2,4,89
30,1,71,179,3,62,15,3,2,83,37,6,0,18,4,33,0,5,5,5,9,1,1,0,22
31,0,54,114,12,49,9,3,3,64,4,0,0,12,0,27,0,0,0,62,14,6,2,1,100
32,0,68,133,7,44,39,2,2,100,-7,6,5,39,4,67,0,2,2,15,73,5,2,0,50
33,1,75,164,4,66,19,0,0,100,-7,5,5,19,2,21,0,0,0,53,92,5,1,1,55
34,0,67,118,6,37,23,2,2,88,70,6,0,26,5,42,0,0,0,31,70,5,3,1,67
35,1,88,153,33,92,13,0,0,100,-7,5,5,14,0,7,0,0,0,1,56.6666666667,1,2.0,0,25
36,0,51,186,13,96,22,3,1,84,2,0,0,25,0,56,0,4,3,79,50,5,3,3,100
37,0,70,127,25,57,23,0,0,96,31.3333333333,6,4,24,0,13,0,0,0,51,26.6666666667,9,2.66666666667,1,67
38,0,65,116,10,37,14,1,1,93,72,6,0,15,1,13,0,2,2,52,62.6666666667,3,1,2,56
39,0,78,21,4,13,11,0,0,100,-7,5,5,11,5,64,0,3,3,7,96.6666666667,3,2.66666666667,0,75
