,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,74.0,92.0,82.0,87.0,2.0,0.0,0.0,100.0,48.0,7.0,5.0,2.0,0.0,50.0,4.0,0.0,0.0,75.0,31.0,4.0,2.0,2.0,79.0
1,0,93.0,383.0,383.0,383.0,1.0,1.0,1.0,100.0,71.0,6.0,5.0,1.0,0.0,100.0,8.0,1.0,1.0,41.0,38.0,3.0,2.0,2.0,76.0
2,0,88.0,211.0,20.0,103.0,13.0,0.0,0.0,100.0,38.0,5.0,5.0,14.0,0.0,57.0,5.0,0.0,0.0,0.0,19.0,2.0,3.0,0.0,71.0
3,0,75.0,169.0,2.0,59.0,21.0,0.0,0.0,100.0,35.0,5.0,5.0,22.0,4.0,36.0,1.0,4.0,4.0,43.0,112.0,4.0,6.0,0.0,83.0
4,0,81.0,220.0,2.0,91.0,20.0,0.0,0.0,100.0,38.0,5.0,5.0,23.0,2.0,39.0,3.0,2.0,2.0,36.0,54.0,3.0,1.0,1.0,67.0
5,0,69.0,112.0,2.0,43.0,5.0,0.0,0.0,100.0,25.0,5.0,5.0,7.0,2.0,43.0,2.0,1.0,1.0,37.0,58.0,3.0,2.0,0.0,83.0
6,1,92.0,152.0,15.0,154.0,14.0,0.0,0.0,100.0,45.0,5.0,5.0,15.0,0.0,47.0,5.0,0.0,0.0,7.0,79.0,2.0,2.0,0.0,80.0
7,1,91.0,150.0,3.0,108.0,10.0,0.0,0.0,100.0,44.0,5.0,5.0,11.0,1.0,64.0,4.0,1.0,1.0,2.0,41.0,1.0,3.0,0.0,67.0
8,0,73.0,183.0,6.0,90.0,19.0,1.0,1.0,100.0,24.0,5.0,5.0,19.0,1.0,32.0,4.0,0.0,0.0,6.0,52.0,1.0,2.0,0.0,50.0
9,0,87.0,120.0,12.0,59.0,26.0,0.0,0.0,100.0,39.0,5.0,5.0,26.0,0.0,54.0,4.0,1.0,1.0,1.0,57.0,2.0,1.0,0.0,75.0
10,1,74.0,159.0,9.0,69.0,26.0,0.0,0.0,100.0,36.0,6.0,6.0,27.0,2.0,48.0,3.0,0.0,0.0,61.0,67.0,3.0,4.0,2.0,78.0
11,0,80.0,203.0,6.0,91.0,15.0,0.0,0.0,100.0,34.0,5.0,5.0,17.0,1.0,29.0,4.0,0.0,0.0,16.0,93.0,6.0,2.0,1.0,69.0
12,0,83.0,106.0,3.0,62.0,28.0,0.0,0.0,100.0,42.0,5.0,5.0,28.0,5.0,11.0,2.0,4.0,4.0,17.0,68.0,2.0,1.0,0.0,60.0
13,1,78.0,41.0,3.0,16.0,3.0,0.0,0.0,100.0,40.0,5.0,5.0,3.0,2.0,67.0,-5.0,16.0,16.0,0.0,82.0,0.0,1.0,1.0,50.0
14,0,65.0,14.0,0.0,4.0,3.0,0.0,0.0,100.0,23.0,5.0,5.0,6.0,5.0,33.0,-3.0,9.0,9.0,1.0,98.0,1.0,2.0,0.0,50.0
15,0,79.0,161.0,16.0,92.0,18.0,0.0,0.0,100.0,38.0,5.0,5.0,20.0,0.0,40.0,4.0,0.0,0.0,65.0,71.0,3.0,2.0,2.0,83.0
16,0,79.0,81.0,6.0,46.0,24.0,0.0,0.0,100.0,32.0,5.0,5.0,24.0,1.0,25.0,2.0,4.0,4.0,13.0,68.0,2.0,1.0,0.0,43.0
17,0,88.0,112.0,16.0,61.0,16.0,0.0,0.0,100.0,41.0,5.0,5.0,16.0,0.0,13.0,5.0,0.0,0.0,7.0,66.0,2.0,1.0,0.0,60.0
18,0,90.0,182.0,4.0,129.0,15.0,0.0,0.0,100.0,41.0,5.0,5.0,17.0,1.0,29.0,4.0,1.0,1.0,0.0,98.0,0.0,2.0,0.0,40.0
19,0,75.0,181.0,2.0,69.0,15.0,0.0,0.0,100.0,36.0,5.0,5.0,16.0,2.0,50.0,2.0,3.0,3.0,56.0,78.0,6.0,4.0,2.0,91.0
