,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0,55,144,4,84,20,3,0,83,2,3,3,23,1,43,0,0,0,33,109.54713165,8,1,1,69
1,0,61,58,15,41,2,4,4,100,-7,0,5,7,0,67,0,0,0,0,69.3791025835,0,2.83823821105,-1.41781977525,0
2,0,67,66,5,24,9,0,0,100,-7,5,5,9,4,44,0,4,4,53,66,4,2,1,86
3,0,66,169,1,73,28,1,1,93,76,6,4,30,3,57,0,5,4,72,83,6,4,3,91
4,0,81,333,27,132,12,0,0,100,-7,5,5,12,0,25,0,1,1,51,89,3,1,0,80
5,0,59,137,11,78,31,0,0,91,1,4,4,32,1,47,0,0,0,62,93,12,4,3,94
6,1,54,88,7,37,25,0,0,92,9,4,4,26,3,58,0,4,4,89,76,7,7,2,100
7,1,68,148,7,65,17,0,0,83,31,6,4,18,1,44,0,0,0,28,48,2,2,2,40
8,0,59,324,2,138,24,0,0,85,5,4,4,27,1,26,0,1,1,68,32.486374634,7,1,3,90
9,0,61,79,4,36,19,0,0,95,5,4,4,19,3,26,0,6,6,31,86,5,3,1,62
10,1,82,96,5,47,16,0,0,100,-7,5,5,16,3,31,0,0,0,15,88,4,2,0,67
11,0,50,311,25,76,12,1,0,60,2,3,3,15,0,20,0,1,1,84,64,5,2,2,88
12,0,74,274,2,66,23,0,0,100,-7,6,5,28,4,39,0,2,2,18,65,3,5,1,67
13,1,69,256,6,117,11,1,1,100,-7,5,5,14,1,8,0,0,0,13,116.224775293,2,0.228891169398,0,67
14,0,63,262,26,95,3,2,2,75,27,6,2,6,0,100,0,0,0,74.7590551231,35.4730137093,-3.70820450713,1,-1.06359517385,100
15,0,63,184,3,77,34,0,0,97,32,6,4,36,2,36,0,11,10,71,80,10,2,3,82
16,0,61,256,19,68,14,0,0,87,0,4,4,15,0,33,0,2,1,62,68,3,3,1,86
17,0,62,131,4,59,16,4,2,79,23,6,3,20,4,58,0,4,4,25,91,3,4,1,70
18,0,89,244,9,147,10,0,0,100,-7,5,5,10,1,10,0,0,0,3,136.087383745,2,-0.592727303834,0,50
19,0,65,43,2,26,15,1,1,100,-7,5,5,17,2,25,0,4,4,31,83,5,1,0,75
20,0,57,147,4,73,27,1,1,97,1,0,0,31,2,48,0,4,4,44,87,3,2,3,56
21,0,72,365,11,83,22,0,0,100,-7,5,5,22,1,41,0,0,0,49,23,6,2,1,73
22,1,72,84,4,53,29,0,0,100,-7,5,5,30,2,27,0,1,1,43,48,9,5,3,64
23,0,65,88,9,45,20,0,0,85,1,4,4,20,1,20,0,0,0,14,71,4,2,1,50
24,0,64,91,4,55,19,1,1,90,0,0,0,20,2,50,0,2,2,24,81,6,3,1,82
25,0,58,265,3,79,25,2,1,93,13,0,3,28,2,48,0,1,1,63,50,8,2,0,91
26,0,58,150,16,72,18,2,0,55,4,4,3,22,0,45,0,1,1,79,38,7,3,0,91
27,0,79,162,7,94,17,0,0,100,-7,5,5,17,1,29,0,0,0,28,-3.7734072754,3,1,1,57
28,0,66,284,32,107,15,2,2,82,3,4,2,17,0,53,0,1,1,19,50,3,2,1,63
29,0,69,476,8,157,38,4,4,100,-7,6,5,39,1,36,0,4,4,50,54,14,2,4,89
30,1,71,179,3,62,15,3,2,83,37,6,0,18,4,33,0,5,5,5,9,1,1,0,22
31,0,54,114,12,49,9,3,3,64,4,0,0,12,0,27,0,0,0,62,14,6,2,1,100
32,0,68,133,7,44,39,2,2,100,-7,6,5,39,4,67,0,2,2,15,73,5,2,0,50
33,1,75,164,4,66,19,0,0,100,-7,5,5,19,2,21,0,0,0,53,92,5,1,1,55
34,0,67,118,6,37,23,2,2,88,70,6,0,26,5,42,0,0,0,31,70,5,3,1,67
35,1,88,153,33,92,13,0,0,100,-7,5,5,14,0,7,0,0,0,1,26.2480703108,1,0.27712963727,0,25
36,0,51,186,13,96,22,3,1,84,2,0,0,25,0,56,0,4,3,79,50,5,3,3,100
37,0,70,127,25,57,23,0,0,96,-8,6,4,24,0,13,0,0,0,51,-33.5901753438,9,1.05289559137,1,67
38,0,65,116,10,37,14,1,1,93,72,6,0,15,1,13,0,2,2,52,54.1745726169,3,1,2,56
39,0,78,21,4,13,11,0,0,100,-7,5,5,11,5,64,0,3,3,7,141.388201619,3,6.24647116572,0,75
40,1,86,318,18,90,13,0,0,100,-7,5,5,13,0,62,0,0,0,0,44,0,2,-1.9675722117,50
41,1,90,230,13,73,11,0,0,100,-7,5,5,13,0,62,0,0,0,1,71,1,4,0,71
42,0,76,293,4,74,33,0,0,100,-7,5,5,34,1,38,0,2,2,37,21.5600365294,13,1,0,88
43,0,70,37,4,20,19,0,0,100,-7,5,5,20,2,20,0,3,3,42,73,2,2,1,50
44,0,73,255,16,100,40,0,0,100,-7,5,5,44,0,23,0,1,1,79,50.3215314764,18,1,13,80
45,0,72,209,2,95,41,0,0,100,-7,5,5,42,3,38,0,1,1,42,85.4257650269,7,2,2,82
46,1,83,398,3,118,29,0,0,100,-7,5,5,29,2,31,0,3,3,22,87,6,3,0,69
47,1,87,326,7,111,26,0,0,100,-7,5,5,30,1,40,0,0,0,12,89,3,2,0,56
48,0,55,114,6,59,19,0,0,89,5,4,4,19,1,53,0,1,1,97,90,8,2,6,100
49,0,65,478,12,97,44,0,0,89,1,4,4,47,0,32,0,9,9,63,-41.9867751454,9,1.28694271798,6,60
50,0,78,197,23,91,15,0,0,100,-7,5,5,17,0,41,0,5,5,57,32,2,2,-1.93663861314,67
51,1,79,243,17,77,35,0,0,97,67,6,4,39,0,36,0,2,2,20,80.0984912931,4,1,0,56
52,0,75,183,18,92,21,0,0,100,-7,5,5,22,0,27,0,0,0,88,91,9,3,5,93
53,0,70,176,8,96,20,0,0,95,17,6,4,20,1,30,0,0,0,74,71,8,4,3,86
54,0,78,368,6,74,42,0,0,98,23,6,4,43,3,49,0,3,3,10,19,8,2,0,67
55,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
56,0,75,300,14,124,22,0,0,100,-7,5,5,23,0,39,0,0,0,57,79.9939833091,4,1,1,100
57,0,76,150,11,54,14,0,0,100,-7,5,5,15,1,40,0,0,0,32,96,4,2,0,75
58,0,72,168,8,62,10,0,0,100,-7,5,5,11,1,18,0,5,5,60,82,7,1,0,100
59,0,55,118,4,69,12,7,4,50,4,3,1,22,2,27,0,2,2,79,79,5,2,2,88
60,0,74,277,30,123,24,0,0,88,12,6,4,24,0,25,0,0,0,45,-31.3128762724,12,1,2,93
61,0,63,174,1,62,11,1,0,79,5,3,3,14,1,29,0,5,5,37,101,5,2,2,70
62,0,81,137,9,66,34,0,0,100,-7,5,5,34,1,62,0,1,1,24,92,3,4,0,78
63,1,81,126,9,78,18,0,0,100,-7,5,5,18,1,83,0,0,0,0,64,1,3,-2.04284231696,80
64,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
65,0,59,243,11,79,38,1,1,76,7,4,4,43,1,50,0,1,1,63,78,7,4,4,86
66,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
67,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
68,0,66,176,11,81,43,0,0,98,3,4,4,44,1,39,0,2,2,36,64,3,4,1,47
69,0,72,169,5,60,21,1,1,96,30,6,1,23,1,52,0,4,4,66,82,4,3,1,78
70,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
71,1,73,409,7,94,38,0,0,100,-7,5,5,39,2,18,0,1,1,27,69,11,2,2,72
72,0,86,419,10,122,17,0,0,100,-7,5,5,18,1,72,0,0,0,0,36,0,2,-1.9452762125,50
73,0,91,282,100,209,6,0,0,100,-7,5,5,7,0,43,0,0,0,0,2.99074378484,0,1.07914735927,1.49566178822,0
74,1,73,324,15,89,19,0,0,89,9,4,4,19,0,21,0,0,0,34,36,6,3,1,64
75,1,78,134,2,63,35,0,0,93,32,6,4,40,3,40,0,0,0,22,55,5,4,0,60
76,0,65,155,8,37,20,1,1,95,8,4,4,21,1,38,0,2,2,49,87,5,5,1,67
77,0,75,70,1,38,8,0,0,100,-7,5,5,9,1,78,0,4,3,17,1.97930527945,2,1,-0.249712038349,100
78,1,84,277,8,109,8,0,0,100,-7,5,5,8,1,50,0,0,0,33,57.0411641673,2,1,0,100
79,1,75,294,12,94,39,0,0,98,-8,6,4,40,0,35,0,2,2,17,40.7416639486,6,5,0,61
80,1,60,357,17,141,9,4,3,67,3,3,2,13,0,50,0,1,1,28,67.2840467769,4,1.26964976027,-0.160273266444,100
81,1,68,106,3,54,29,1,1,87,51,6,0,31,2,65,0,1,1,85,73,3,5,2,100
82,0,67,85,7,44,15,1,1,93,45,6,4,16,2,33,0,0,0,59,62,3,2,2,83
83,0,71,282,1,73,22,0,0,96,-8,6,4,25,5,4,0,2,2,37,39,11,1,1,80
84,0,50,204,2,91,23,2,0,82,1,3,3,28,2,32,0,6,6,32,92.5295099,5,6.18589260485,0,67
85,0,62,151,19,99,5,1,1,80,16,6,4,6,0,80,0,0,0,40,75,1,2,0,100
86,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
87,0,70,333,2,75,16,0,0,100,-7,6,5,20,8,30,0,0,0,78,92,6,2,4,67
88,0,58,307,6,79,14,1,0,73,18,6,3,15,2,53,0,0,0,81,75,3,3,2,86
89,1,-9,17,17,17,1,0,0,100,-7,7,5,1,0,100,0,0,0,87.5890714675,72.728684959,-1.1900161919,4.47167942384,-0.215483657543,-8
90,1,88,188,13,82,20,0,0,100,-7,5,5,20,0,40,0,0,0,17,82,2,2,0,50
91,0,65,107,7,48,40,0,0,100,-7,6,5,43,4,42,0,2,2,80,86,5,2,4,70
92,0,74,169,5,78,26,0,0,96,76,6,4,27,2,37,0,1,1,37,91,5,4,0,75
93,0,78,282,2,95,23,0,0,100,-7,5,5,24,1,13,0,1,1,22,79.4704344923,4,1,1,43
94,1,74,378,7,110,41,0,0,98,35,6,4,42,4,57,0,0,0,44,76,4,5,2,69
95,1,77,311,11,103,39,0,0,98,-8,6,4,42,1,36,0,0,0,46,73,5,4,1,69
96,0,67,299,2,79,25,0,0,89,15,6,4,27,3,37,0,12,11,63,63,13,3,4,94
97,1,56,76,6,32,11,2,2,92,15,6,0,14,5,17,0,3,3,83,42,5,2,2,100
98,1,88,211,20,103,13,0,0,100,-7,5,5,14,0,57,-7,0,0,0,19,2,3,0,71
99,0,75,169,2,59,21,0,0,100,-7,5,5,22,4,36,-7,4,4,43,112,4,6,0,83
100,0,66,127,2,69,17,0,0,94,16,6,4,18,4,33,-7,3,3,42,81,3,4,3,58
101,1,81,220,2,91,20,0,0,100,-7,5,5,23,2,39,-7,2,2,36,45.293294652,3,1,1,67
102,0,71,177,8,95,24,0,0,96,-8,6,4,24,1,75,-7,1,1,87,87,4,2,3,100
