,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,73.30032061578467,17.0,17.0,17.0,1.0,0.0,0.0,100.0,150.0,9.0,8.0,1.0,0.0,100.0,0.0,0.0,0.0,69.6,75.6,2.4,3.0,1.0,93.2
1,0.0,61.68047726847402,24.0,24.0,24.0,1.0,3.0,3.0,100.0,150.0,0.0,8.0,1.0,0.0,100.0,3.0,1.0,1.0,32.2,61.4,1.0,2.8,0.0,88.4
2,0.0,75.57540752842385,92.0,82.0,87.0,2.0,0.0,0.0,100.0,150.0,9.0,8.0,2.0,0.0,50.0,150.0,0.0,0.0,65.2,34.8,5.0,1.8,2.8,81.0
3,0.0,60.988187764058054,87.0,10.0,35.0,18.0,1.0,1.0,89.0,3.0,2.0,4.0,19.0,2.0,16.0,0.0,2.0,2.0,29.0,73.0,6.0,1.0,1.0,47.0
4,0.0,76.24923783033064,115.0,55.0,78.0,3.0,0.0,0.0,100.0,150.0,9.0,8.0,3.0,0.0,100.0,0.0,0.0,0.0,68.0,25.4,3.4,2.2,1.8,78.8
5,0.0,50.88489161723355,173.0,2.0,59.0,74.0,3.0,3.0,99.0,8.0,0.0,2.0,77.0,9.0,25.0,0.0,10.0,9.0,22.0,97.0,7.0,4.0,4.0,62.0
6,0.0,78.43134154842124,175.0,159.0,167.0,2.0,1.0,1.0,100.0,150.0,9.0,8.0,3.0,0.0,50.0,0.0,2.0,2.0,54.8,36.4,5.4,1.8,2.8,82.2
7,0.0,84.9734629099649,383.0,383.0,383.0,1.0,1.0,1.0,100.0,150.0,6.0,8.0,1.0,0.0,100.0,150.0,1.0,1.0,54.8,36.4,5.4,1.8,2.8,82.2
8,1.0,78.30400223515869,297.0,6.0,93.0,18.0,0.0,0.0,95.0,16.0,6.0,6.0,20.0,2.0,55.0,0.0,0.0,0.0,10.0,96.0,1.0,1.0,0.0,33.0
9,0.0,59.36864447540036,85.0,28.0,179.0,3.0,5.0,5.0,50.0,15.0,6.0,4.0,4.0,0.0,0.0,2.0,3.0,3.0,79.2,61.4,3.0,2.0,0.6,86.8
10,0.0,55.0,144.0,4.0,84.0,20.0,3.0,0.0,83.0,2.0,3.0,5.0,23.0,1.0,43.0,0.0,0.0,0.0,33.0,77.2,8.0,1.0,1.0,69.0
11,0.0,61.0,58.0,15.0,41.0,2.0,4.0,4.0,100.0,150.0,0.0,8.0,7.0,0.0,67.0,0.0,0.0,0.0,0.0,74.0,0.0,3.0,0.2,0.0
12,0.0,67.0,66.0,5.0,24.0,9.0,0.0,0.0,100.0,150.0,7.0,8.0,9.0,4.0,44.0,0.0,4.0,4.0,53.0,66.0,4.0,2.0,1.0,86.0
13,0.0,66.0,169.0,1.0,73.0,28.0,1.0,1.0,93.0,76.0,6.0,6.0,30.0,3.0,57.0,0.0,5.0,4.0,72.0,83.0,6.0,4.0,3.0,91.0
14,0.0,81.0,333.0,27.0,132.0,12.0,0.0,0.0,100.0,150.0,7.0,8.0,12.0,0.0,25.0,0.0,1.0,1.0,51.0,89.0,3.0,1.0,0.0,80.0
15,0.0,59.0,137.0,11.0,78.0,31.0,0.0,0.0,91.0,1.0,4.0,6.0,32.0,1.0,47.0,0.0,0.0,0.0,62.0,93.0,12.0,4.0,3.0,94.0
16,1.0,54.0,88.0,7.0,37.0,25.0,0.0,0.0,92.0,9.0,4.0,6.0,26.0,3.0,58.0,0.0,4.0,4.0,89.0,76.0,7.0,7.0,2.0,100.0
17,1.0,68.0,148.0,7.0,65.0,17.0,0.0,0.0,83.0,31.0,6.0,6.0,18.0,1.0,44.0,0.0,0.0,0.0,28.0,48.0,2.0,2.0,2.0,40.0
18,0.0,59.0,324.0,2.0,138.0,24.0,0.0,0.0,85.0,5.0,4.0,6.0,27.0,1.0,26.0,0.0,1.0,1.0,68.0,54.4,7.0,1.0,3.0,90.0
19,0.0,61.0,79.0,4.0,36.0,19.0,0.0,0.0,95.0,5.0,4.0,6.0,19.0,3.0,26.0,0.0,6.0,6.0,31.0,86.0,5.0,3.0,1.0,62.0
20,1.0,82.0,96.0,5.0,47.0,16.0,0.0,0.0,100.0,150.0,7.0,8.0,16.0,3.0,31.0,0.0,0.0,0.0,15.0,88.0,4.0,2.0,0.0,67.0
21,0.0,50.0,311.0,25.0,76.0,12.0,1.0,0.0,60.0,2.0,3.0,5.0,15.0,0.0,20.0,0.0,1.0,1.0,84.0,64.0,5.0,2.0,2.0,88.0
22,0.0,74.0,274.0,2.0,66.0,23.0,0.0,0.0,100.0,150.0,6.0,8.0,28.0,4.0,39.0,0.0,2.0,2.0,18.0,65.0,3.0,5.0,1.0,67.0
23,1.0,69.0,256.0,6.0,117.0,11.0,1.0,1.0,100.0,150.0,7.0,8.0,14.0,1.0,8.0,0.0,0.0,0.0,13.0,58.4,2.0,2.2,0.0,67.0
24,0.0,63.0,262.0,26.0,95.0,3.0,2.0,2.0,75.0,27.0,6.0,4.0,6.0,0.0,100.0,0.0,0.0,0.0,50.4,57.8,1.2,1.0,0.4,100.0
25,0.0,63.0,184.0,3.0,77.0,34.0,0.0,0.0,97.0,32.0,6.0,6.0,36.0,2.0,36.0,0.0,11.0,10.0,71.0,80.0,10.0,2.0,3.0,82.0
26,0.0,61.0,256.0,19.0,68.0,14.0,0.0,0.0,87.0,0.0,4.0,6.0,15.0,0.0,33.0,0.0,2.0,1.0,62.0,68.0,3.0,3.0,1.0,86.0
27,0.0,62.0,131.0,4.0,59.0,16.0,4.0,2.0,79.0,23.0,6.0,5.0,20.0,4.0,58.0,0.0,4.0,4.0,25.0,91.0,3.0,4.0,1.0,70.0
28,0.0,89.0,244.0,9.0,147.0,10.0,0.0,0.0,100.0,150.0,7.0,8.0,10.0,1.0,10.0,0.0,0.0,0.0,3.0,87.0,2.0,1.8,0.0,50.0
